category,item_name,high,low,avg,change,date
Polysilicon,N-Type Recharge Polysilicon (RMB),54,50,53,( 0.0 % ),2026-02-14
Polysilicon,N-Type Dense Polysilicon (RMB),52,49,52,( 0.0 % ),2026-02-14
Polysilicon,N-Type Granular Polysilicon (RMB),51,50,50,( 0.0 % ),2026-02-14
Polysilicon,Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-02-14
Polysilicon,N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.25,1.1,1.2,( 0.0 % ),2026-02-14
Polysilicon,N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.55,1.4,1.5,( 0.0 % ),2026-02-14
Polysilicon,N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.35,1.2,1.3,( 0.0 % ),2026-02-14
Polysilicon,M10L TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Polysilicon,G12 TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Polysilicon,G12R TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Polysilicon,182mm TOPCon Module (RMB),0.85,0.78,0.79,( 0.0 % ),2026-02-14
Polysilicon,210mm HJT Module (RMB),0.82,0.7,0.76,( 0.0 % ),2026-02-14
Polysilicon,Ground-mounted Project 182-210mm TOPCon Module (RMB),0.75,0.7,0.72,( 0.0 % ),2026-02-14
Polysilicon,Distributed project 182-210mm TOPCon Module (RMB),0.8,0.74,0.75,( 0.0 % ),2026-02-14
Polysilicon,2.0mm Double-glazed and Coated PV Glass (RMB),12,11,11.5,( 0.0 % ),2026-02-14
Polysilicon,3.2mm Double-glazed and Coated PV Glass (RMB),19,18,18.5,( 0.0 % ),2026-02-14
Polysilicon,2.0 Rear PV Glass (RMB),10,9,9.5,( 0.0 % ),2026-02-14
Polysilicon (Per KG)2026/02/11 update,N-Type Recharge Polysilicon (RMB),54,50,53,( 0.0 % ),2026-02-14
Polysilicon (Per KG)2026/02/11 update,N-Type Dense Polysilicon (RMB),52,49,52,( 0.0 % ),2026-02-14
Polysilicon (Per KG)2026/02/11 update,N-Type Granular Polysilicon (RMB),51,50,50,( 0.0 % ),2026-02-14
Polysilicon (Per KG)2026/02/11 update,Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-02-14
Wafer (Per Pcs.)2026/02/11 update,N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.25,1.1,1.2,( 0.0 % ),2026-02-14
Wafer (Per Pcs.)2026/02/11 update,N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.55,1.4,1.5,( 0.0 % ),2026-02-14
Wafer (Per Pcs.)2026/02/11 update,N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.35,1.2,1.3,( 0.0 % ),2026-02-14
Cell (Per Watt)2026/02/11 update,M10L TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Cell (Per Watt)2026/02/11 update,G12 TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Cell (Per Watt)2026/02/11 update,G12R TOPCon Cell (RMB),0.43,0.41,0.42,( 0.0 % ),2026-02-14
Module (Per Watt)2026/02/11 update,182mm TOPCon Module (RMB),0.85,0.78,0.79,( 0.0 % ),2026-02-14
Module (Per Watt)2026/02/11 update,210mm HJT Module (RMB),0.82,0.7,0.76,( 0.0 % ),2026-02-14
China Projects Module (Per Watt)2026/02/11 update,Ground-mounted Project 182-210mm TOPCon Module (RMB),0.75,0.7,0.72,( 0.0 % ),2026-02-14
China Projects Module (Per Watt)2026/02/11 update,Distributed project 182-210mm TOPCon Module (RMB),0.8,0.74,0.75,( 0.0 % ),2026-02-14
PV Glass2026/02/11 update,2.0mm Double-glazed and Coated PV Glass (RMB),12,11,11.5,( 0.0 % ),2026-02-14
PV Glass2026/02/11 update,3.2mm Double-glazed and Coated PV Glass (RMB),19,18,18.5,( 0.0 % ),2026-02-14
PV Glass2026/02/11 update,2.0 Rear PV Glass (RMB),10,9,9.5,( 0.0 % ),2026-02-14
