source,category,item_name,high,low,avg,change,date
energytrend,Polysilicon (Per KG),N-Type Recharge Polysilicon (RMB),47,41,45,( -4.26 % ),2026-03-18
energytrend,Polysilicon (Per KG),N-Type Dense Polysilicon (RMB),45,39,43,( -4.44 % ),2026-03-18
energytrend,Polysilicon (Per KG),N-Type Granular Polysilicon (RMB),42,39,40,( -9.09 % ),2026-03-18
energytrend,Polysilicon (Per KG),Polysilicon Outside China (USD),22,13.1,17.5,( 0.0 % ),2026-03-18
energytrend,Wafer (Per Pcs.),N-Type M10 Mono Wafer - 183mm/130μm (RMB),1.05,1,1,( -4.76 % ),2026-03-18
energytrend,Wafer (Per Pcs.),N-Type G12 Mono Wafer - 210mm/130μm (RMB),1.35,1.3,1.3,( -3.7 % ),2026-03-18
energytrend,Wafer (Per Pcs.),N-Type 210R Mono Wafer-210*182mm/130μm (RMB),1.15,1.1,1.1,( -4.35 % ),2026-03-18
energytrend,Cell (Per Watt),M10L TOPCon Cell (RMB),0.41,0.39,0.4,( -2.44 % ),2026-03-18
energytrend,Cell (Per Watt),G12 TOPCon Cell (RMB),0.41,0.39,0.4,( -2.44 % ),2026-03-18
energytrend,Cell (Per Watt),G12R TOPCon Cell (RMB),0.41,0.395,0.4,( -2.44 % ),2026-03-18
energytrend,Module (Per Watt),182mm TOPCon Module (RMB),0.85,0.78,0.79,( 0.0 % ),2026-03-18
energytrend,Module (Per Watt),210mm HJT Module (RMB),0.82,0.7,0.76,( 0.0 % ),2026-03-18
energytrend,China Projects Module (Per Watt),Ground-mounted Project 182-210mm TOPCon Module (RMB),0.75,0.7,0.72,( 0.0 % ),2026-03-18
energytrend,China Projects Module (Per Watt),Distributed project 182-210mm TOPCon Module (RMB),0.8,0.74,0.75,( 0.0 % ),2026-03-18
energytrend,PV Glass,2.0mm Double-glazed and Coated PV Glass (RMB),12,11,11.5,( 0.0 % ),2026-03-18
energytrend,PV Glass,3.2mm Double-glazed and Coated PV Glass (RMB),19,18,18.5,( 0.0 % ),2026-03-18
energytrend,PV Glass,2.0 Rear PV Glass (RMB),10,9,9.5,( 0.0 % ),2026-03-18
