source,category,item_name,high,low,avg,avg_chg,avg_chg_pct,avg_cny,date
pvinsights,PV PolySilicon,PV Grade PolySilicon  (9N/9N+),23.00,3.50,4.44,-0.19,-4.1%,34.0,2026-06-10
pvinsights,Solar PV Wafer,156 mm Multi Solar Wafer,0.165,0.055,0.070,-0.002,-2.78%,0.54,2026-06-10
pvinsights,Solar PV Wafer,182mm Mono Solar Wafer,0.300,0.105,0.120,-0.004,-3.23%,0.92,2026-06-10
pvinsights,Solar PV Wafer,210mm Mono Solar Wafer,0.405,0.145,0.172,-0.006,-3.37%,1.32,2026-06-10
pvinsights,Solar PV Wafer,182.2mm x 183.75mm N Mono Wafer,0.310,0.105,0.112,-0.004,-3.45%,0.86,2026-06-10
pvinsights,Solar PV Cell,Multi Cell Price,0.110,0.030,0.037,-0.003,-7.5%,0.283,2026-06-10
pvinsights,Solar PV Cell,Poly PERC Cell,0.080,0.030,0.037,-0.003,-7.5%,0.283,2026-06-10
pvinsights,Solar PV Cell,China Mono PERC Cell,0.075,0.035,0.039,-0.003,-7.14%,0.299,2026-06-10
pvinsights,Solar PV Cell,166mm Mono PERC Cell,0.095,0.035,0.039,-0.003,-7.14%,0.299,2026-06-10
pvinsights,Solar PV Cell,182mm Mono PERC Cell,0.110,0.035,0.039,-0.004,-9.3%,0.299,2026-06-10
pvinsights,Solar PV Cell,210mm Mono PERC Cell,0.110,0.035,0.039,-0.004,-9.3%,0.299,2026-06-10
pvinsights,Solar PV Cell,182mm N-Mono Cell,0.110,0.035,0.040,-0.003,-6.98%,0.306,2026-06-10
pvinsights,Solar PV Module,Poly Module,0.290,0.070,0.084,-0.001,-1.18%,0.644,2026-06-10
pvinsights,Solar PV Module,182mm 550/595Wp PERC Module,0.300,0.080,0.086,-0.001,-1.15%,0.659,2026-06-10
pvinsights,Solar PV Module,210mm 600/660Wp PERC Module,0.300,0.080,0.089,-0.001,-1.11%,0.682,2026-06-10
pvinsights,Solar PV Module,Mono PERC Module in China,0.095,0.080,0.084,-0.001,-1.18%,0.644,2026-06-10
pvinsights,Solar PV Module,182mm 580/625Wp N-Mono Module,0.170,0.080,0.090,-0.001,-1.1%,0.690,2026-06-10
pvinsights,Solar PV Module,ThinFilm Solar Module,0.340,0.120,0.200,0,0%,1.532,2026-06-10
